SceneID,MassFactorA,MassFactorB,ActualOffset_s,PrimaryFineMeanSOCSaving_kWh,PrimaryCoarseMeanSOCSaving_kWh,PrimarySceneMeanStepChange_kWh,MaxPrimarySOCStepChange_kWh,SecondaryFineMeanSOCSaving_kWh,SecondaryCoarseMeanSOCSaving_kWh,Complete
78,1.04700198298125,0.982240865783869,36.5640888287901,0.14849417700038,0.148492630409464,1.54659091577969e-06,1.54672412122636e-06,0.14652840159745,0.14652688867789,1
79,1.03457288978785,1.0439705155078,35.0030216315219,0.0550943703278008,0.0550944601454262,-8.98176253372185e-08,8.98531169468697e-08,0.0608845853947741,0.0608848067301224,1
80,1.01525967975752,0.998679004217707,36.6951344042386,0.125070599682935,0.125069919528151,6.80154784049591e-07,6.80203100955623e-07,0.112479629344094,0.112478291879739,1
81,0.963543390565833,0.998463875759219,33.267176389492,0.0371033000078569,0.0371033882430467,-8.82351898212619e-08,8.83376856108953e-08,0.0435216780396317,0.043521701387327,1
82,0.987208854333111,0.979008070213731,35.9269918208539,0.106569920777837,0.106570066044085,-1.45266248807729e-07,1.45453114441807e-07,0.109306602117456,0.109306696015722,1
83,1.00130397150538,0.970860542812641,34.2810360684867,0.0870714612866408,0.0870679297752304,3.53151141041508e-06,3.53154908339093e-06,0.0912367582295204,0.0912334270810788,1
84,0.998465567944112,0.972342943711988,37.129486278091,0.139758892717474,0.139758981320711,-8.86032367475309e-08,8.86990818571576e-08,0.120755766931623,0.120755805957792,1
85,1.00323854739571,0.962501232372292,35.6865317584975,0.128122748396599,0.12811908884624,3.65955035874777e-06,3.65992607953558e-06,0.130298819508035,0.13029540450561,1
86,1.01146422060602,1.03866435884463,35.7833238655432,0.0768364795113143,0.0768349402581805,1.53925313384207e-06,1.53954152892766e-06,0.0699719634763625,0.0699688786635946,1
87,0.976897875778516,0.975891437200179,33.7627829570841,0.0611222776556914,0.0611223277728996,-5.01172081612822e-08,5.02014074754698e-08,0.0680994244581612,0.0680994911686312,1
88,1.03766625413622,0.998796456550934,37.4761823675245,0.140419879707167,0.14042040912576,-5.29418592520869e-07,5.29599930132463e-07,0.117307712897322,0.117307590053784,1
